Date,MADATA.Death,MADATA.DeathConfirmed
2020-1-22,0,0
2020-1-23,0,0
2020-1-24,0,0
2020-1-25,0,0
2020-1-26,0,0
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,1370,0
2020-4-5,1632,0
2020-4-6,1667,0
2020-4-7,1831,0
2020-4-8,2119,0
2020-4-9,2302,0
2020-4-10,2435,0
2020-4-11,2507,0
2020-4-12,2514,0
2020-4-13,3485,0
2020-4-14,3616,0
2020-4-15,3637,0
2020-4-16,3726,0
2020-4-17,3756,0
2020-4-18,3728,0
2020-4-19,3789,0
2020-4-20,3872,0
2020-4-21,3977,0
2020-4-22,3890,0
2020-4-23,3851,0
2020-4-24,3847,0
2020-4-25,3879,0
2020-4-26,3879,0
2020-4-27,3892,0
2020-4-28,3875,0
2020-4-29,3856,0
2020-4-30,3803,0
2020-5-1,3716,0
2020-5-2,3601,0
2020-5-3,3617,0
2020-5-4,3539,0
2020-5-5,3542,0
2020-5-6,3564,0
2020-5-7,3436,0
2020-5-8,3349,0
2020-5-9,3229,0
2020-5-10,3128,0
2020-5-11,3102,0
2020-5-12,3127,0
2020-5-13,3101,0
2020-5-14,2859,0
2020-5-15,2767,0
2020-5-16,2692,0
2020-5-17,2597,0
2020-5-18,2533,0
2020-5-19,2472,0
2020-5-20,2518,0
2020-5-21,2396,0
2020-5-22,2323,0
2020-5-23,2237,0
2020-5-24,2169,0
2020-5-25,2132,0
2020-5-26,2108,0
2020-5-27,2106,0
2020-5-28,2112,0
2020-5-29,1991,0
2020-5-30,1904,0
2020-5-31,1824,0
2020-6-1,1747,289
2020-6-2,1657,269
2020-6-3,1684,263
2020-6-4,1637,249
2020-6-5,1533,238
2020-6-6,1529,238
2020-6-7,1442,221
2020-6-8,1415,209
2020-6-9,1397,202
2020-6-10,1345,200
2020-6-11,1260,181
2020-6-12,1143,170
2020-6-13,1069,162
2020-6-14,1039,156
2020-6-15,1026,167
2020-6-16,1045,151
2020-6-17,998,135
2020-6-18,968,125
2020-6-19,994,124
2020-6-20,964,118
2020-6-21,927,111
2020-6-22,920,107
2020-6-23,953,112
2020-6-24,939,98
2020-6-25,822,101
2020-6-26,791,99
2020-6-27,769,90
2020-6-28,748,81
2020-6-29,762,79
2020-6-30,733,63
2020-7-1,760,65
2020-7-2,681,52
2020-7-3,656,55
2020-7-4,640,51
2020-7-5,636,46
2020-7-6,603,51
2020-7-7,621,50
2020-7-8,662,49
2020-7-9,635,42
2020-7-10,632,47
2020-7-11,572,44
2020-7-12,583,43
2020-7-13,570,46
2020-7-14,560,37
2020-7-15,580,40
2020-7-16,557,38
2020-7-17,515,34
2020-7-18,499,43
2020-7-19,498,41
2020-7-20,483,38
2020-7-21,513,33
2020-7-22,532,37
2020-7-23,351,30
2020-7-24,397,29
2020-7-25,371,27
2020-7-26,364,30
2020-7-27,350,28
2020-7-28,364,27
2020-7-29,390,23
2020-7-30,367,29
2020-7-31,347,28
2020-8-1,369,26
2020-8-2,406,33
2020-8-3,375,24
2020-8-4,354,29
2020-8-5,396,21
2020-8-6,403,32
2020-8-7,390,30
2020-8-8,386,30
2020-8-9,375,26
2020-8-10,380,25
2020-8-11,387,33
2020-8-12,422,33
2020-8-13,401,26
2020-8-14,398,31
2020-8-15,375,27
2020-8-16,372,28
2020-8-17,367,22
2020-8-18,374,23
2020-8-19,365,27
2020-8-20,379,23
2020-8-21,322,15
2020-8-22,315,20
2020-8-23,315,20
2020-8-24,308,26
2020-8-25,327,28
2020-8-26,356,29
2020-8-27,333,29
2020-8-28,312,26
2020-8-29,305,26
2020-8-30,290,25
2020-8-31,314,22
2020-9-1,320,29
2020-9-2,308,29
2020-9-3,312,28
2020-9-4,333,26
2020-9-5,325,25
2020-9-6,312,22
2020-9-7,322,20
2020-9-8,328,24
2020-9-9,338,21
2020-9-10,355,21
2020-9-11,330,22
2020-9-12,331,25
2020-9-13,313,21
2020-9-14,302,17
2020-9-15,310,23
2020-9-16,352,24
2020-9-17,377,26
2020-9-18,338,25
2020-9-19,362,28
2020-9-20,364,34
2020-9-21,367,31
2020-9-22,371,27
2020-9-23,361,26
2020-9-24,375,29
2020-9-25,389,31
2020-9-26,354,28
2020-9-27,408,27
2020-9-28,418,31
2020-9-29,444,27
2020-9-30,438,29
2020-10-1,436,32
2020-10-2,421,34
2020-10-3,416,27
2020-10-4,438,27
2020-10-5,473,33
2020-10-6,494,31
2020-10-7,515,34
2020-10-8,484,23
2020-10-9,500,28
2020-10-10,531,28
2020-10-11,511,29
2020-10-12,501,32
2020-10-13,514,27
2020-10-14,499,28
2020-10-15,503,34
2020-10-16,513,33
2020-10-17,500,36
2020-10-18,483,32
2020-10-19,500,33
2020-10-20,517,35
2020-10-21,519,36
2020-10-22,521,38
2020-10-23,570,43
2020-10-24,551,45
2020-10-25,538,45
2020-10-26,550,43
2020-10-27,567,47
2020-10-28,582,49
2020-10-29,561,49
2020-10-30,571,47
2020-10-31,623,53
2020-11-1,613,55
2020-11-2,469,50
2020-11-3,485,51
2020-11-4,502,55
2020-11-5,498,56
2020-11-6,513,57
2020-11-7,535,60
2020-11-8,568,62
2020-11-9,588,66
2020-11-10,618,68
2020-11-11,659,72
2020-11-12,661,68
2020-11-13,687,71
2020-11-14,705,71
2020-11-15,737,70
2020-11-16,781,74
2020-11-17,835,73
2020-11-18,885,72
2020-11-19,917,75
2020-11-20,904,75
2020-11-21,891,85
2020-11-22,893,88
2020-11-23,922,91
2020-11-24,954,99
2020-11-25,942,108
2020-11-26,942,108
2020-11-27,986,109
2020-11-28,1045,111
2020-11-29,1081,110
2020-11-30,1174,126
2020-12-1,1191,130
2020-12-2,1259,126
2020-12-3,1324,137
2020-12-4,1394,134
2020-12-5,1428,138
2020-12-6,1416,139
2020-12-7,1516,153
2020-12-8,1552,166
2020-12-9,1576,162
2020-12-10,1607,168
2020-12-11,1605,165
2020-12-12,1670,170
2020-12-13,1707,178
2020-12-14,1788,186
2020-12-15,1834,200
2020-12-16,1851,205
2020-12-17,1871,207
2020-12-18,1874,204
2020-12-19,1927,196
2020-12-20,1919,205
2020-12-21,1991,215
2020-12-22,2004,233
2020-12-23,2066,226
2020-12-24,2095,232
2020-12-25,2095,232
2020-12-26,2077,232
2020-12-27,2156,230
2020-12-28,2230,234
2020-12-29,2259,225
2020-12-30,2257,231
2020-12-31,2271,240
2021-1-1,2271,240
2021-1-2,2280,246
2021-1-3,2291,258
2021-1-4,2339,258
2021-1-5,2428,264
2021-1-6,2416,281
2021-1-7,2386,277
2021-1-8,2311,280
2021-1-9,2291,280
2021-1-10,2225,282
2021-1-11,2211,285
2021-1-12,2219,271
2021-1-13,2200,286
2021-1-14,2226,294
2021-1-15,2201,293
2021-1-16,2197,294
2021-1-17,2165,288
2021-1-18,2206,288
2021-1-19,2213,277
2021-1-20,2209,299
2021-1-21,2152,287
2021-1-22,2098,282
2021-1-23,2055,291
2021-1-24,1946,286
2021-1-25,1955,285
2021-1-26,1951,278
2021-1-27,1930,270
2021-1-28,1878,255
2021-1-29,1789,248
2021-1-30,1739,239
2021-1-31,1676,231
2021-2-1,1676,222
2021-2-2,1631,224
2021-2-3,1635,203
2021-2-4,1554,208
2021-2-5,1503,196
2021-2-6,1451,189
2021-2-7,1389,191
2021-2-8,1387,188
2021-2-9,1401,191
2021-2-10,1358,183
2021-2-11,1313,185
2021-2-12,1223,180
2021-2-13,1149,196
2021-2-14,1125,183
2021-2-15,1107,174
2021-2-16,1096,177
2021-2-17,1088,179
2021-2-18,1029,173
2021-2-19,990,163
2021-2-20,970,152
2021-2-21,927,153
2021-2-22,888,140
2021-2-23,879,147
2021-2-24,875,151
2021-2-25,853,142
2021-2-26,807,137
2021-2-27,785,139
2021-2-28,760,124
2021-3-1,788,119
2021-3-2,775,116
2021-3-3,755,109
2021-3-4,741,100
2021-3-5,716,109
2021-3-6,687,114
2021-3-7,665,116
