Date,MODATA.HospitalizedCurrently,MODATA.OnVentilatorCurrently
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,413,0
2020-4-5,424,0
2020-4-6,439,0
2020-4-7,508,0
2020-4-8,519,0
2020-4-9,568,0
2020-4-10,568,0
2020-4-11,506,0
2020-4-12,988,0
2020-4-13,988,0
2020-4-14,1041,0
2020-4-15,1024,0
2020-4-16,1043,0
2020-4-17,1043,0
2020-4-18,875,0
2020-4-19,875,0
2020-4-20,873,0
2020-4-21,1001,0
2020-4-22,1001,0
2020-4-23,884,0
2020-4-24,877,0
2020-4-25,850,142
2020-4-26,679,109
2020-4-27,679,109
2020-4-28,655,105
2020-4-29,891,125
2020-4-30,853,141
2020-5-1,883,137
2020-5-2,896,141
2020-5-3,896,141
2020-5-4,858,135
2020-5-5,893,139
2020-5-6,953,134
2020-5-7,917,141
2020-5-8,832,143
2020-5-9,855,144
2020-5-10,824,137
2020-5-11,824,137
2020-5-12,787,140
2020-5-13,771,129
2020-5-14,796,115
2020-5-15,812,120
2020-5-16,775,116
2020-5-17,775,116
2020-5-18,570,91
2020-5-19,721,103
2020-5-20,546,103
2020-5-21,697,99
2020-5-22,711,93
2020-5-23,742,94
2020-5-24,742,94
2020-5-25,729,93
2020-5-26,500,82
2020-5-27,644,84
2020-5-28,648,88
2020-5-29,650,85
2020-5-30,679,85
2020-5-31,718,83
2020-6-1,693,78
2020-6-2,693,81
2020-6-3,571,70
2020-6-4,599,82
2020-6-5,666,79
2020-6-6,666,79
2020-6-7,657,84
2020-6-8,611,76
2020-6-9,533,59
2020-6-10,533,59
2020-6-11,537,59
2020-6-12,593,69
2020-6-13,595,69
2020-6-14,647,65
2020-6-15,612,64
2020-6-16,524,66
2020-6-17,533,66
2020-6-18,533,64
2020-6-19,594,70
2020-6-20,415,66
2020-6-21,415,66
2020-6-22,415,66
2020-6-23,595,66
2020-6-24,546,66
2020-6-25,546,66
2020-6-26,600,66
2020-6-27,680,66
2020-6-28,412,0
2020-6-29,599,0
2020-6-30,599,66
2020-7-1,592,75
2020-7-2,716,77
2020-7-3,716,78
2020-7-4,740,73
2020-7-5,739,72
2020-7-6,740,73
2020-7-7,676,67
2020-7-8,694,74
2020-7-9,811,75
2020-7-10,886,79
2020-7-11,883,72
2020-7-12,883,80
2020-7-13,932,89
2020-7-14,811,74
2020-7-15,875,86
2020-7-16,875,86
2020-7-17,875,86
2020-7-18,875,86
2020-7-19,875,86
2020-7-20,875,86
2020-7-21,875,86
2020-7-22,875,86
2020-7-23,875,86
2020-7-24,1057,159
2020-7-25,1057,159
2020-7-26,1057,159
2020-7-27,1057,159
2020-7-28,797,112
2020-7-29,797,112
2020-7-30,813,111
2020-7-31,869,108
2020-8-1,812,103
2020-8-2,889,96
2020-8-3,889,99
2020-8-4,891,99
2020-8-5,882,101
2020-8-6,966,110
2020-8-7,930,113
2020-8-8,924,108
2020-8-9,895,105
2020-8-10,923,112
2020-8-11,923,112
2020-8-12,861,107
2020-8-13,882,111
2020-8-14,882,107
2020-8-15,871,113
2020-8-16,889,121
2020-8-17,853,119
2020-8-18,891,116
2020-8-19,875,114
2020-8-20,875,114
2020-8-21,875,114
2020-8-22,913,104
2020-8-23,957,118
2020-8-24,957,118
2020-8-25,925,119
2020-8-26,882,116
2020-8-27,902,110
2020-8-28,1007,118
2020-8-29,976,113
2020-8-30,1004,111
2020-8-31,906,110
2020-9-1,906,110
2020-9-2,934,113
2020-9-3,934,113
2020-9-4,934,113
2020-9-5,934,113
2020-9-6,934,113
2020-9-7,934,113
2020-9-8,934,113
2020-9-9,934,113
2020-9-10,934,113
2020-9-11,934,113
2020-9-12,1040,0
2020-9-13,971,0
2020-9-14,1010,0
2020-9-15,1021,0
2020-9-16,989,0
2020-9-17,962,0
2020-9-18,1025,0
2020-9-19,1004,0
2020-9-20,1064,0
2020-9-21,1022,0
2020-9-22,981,0
2020-9-23,989,0
2020-9-24,1056,0
2020-9-25,1068,0
2020-9-26,1101,0
2020-9-27,1125,0
2020-9-28,1137,0
2020-9-29,1219,0
2020-9-30,1171,0
2020-10-1,1185,0
2020-10-2,1184,0
2020-10-3,1144,0
2020-10-4,1135,0
2020-10-5,1201,0
2020-10-6,1249,0
2020-10-7,1352,0
2020-10-8,1344,0
2020-10-9,1303,0
2020-10-10,1313,0
2020-10-11,1313,0
2020-10-12,1313,0
2020-10-13,1313,0
2020-10-14,1413,0
2020-10-15,1443,0
2020-10-16,1443,0
2020-10-17,1431,0
2020-10-18,918,0
2020-10-19,1439,0
2020-10-20,1439,156
2020-10-21,1415,170
2020-10-22,1352,163
2020-10-23,1349,172
2020-10-24,1443,175
2020-10-25,1404,167
2020-10-26,1399,174
2020-10-27,1407,162
2020-10-28,1446,173
2020-10-29,1490,179
2020-10-30,1530,200
2020-10-31,1574,189
2020-11-1,1649,214
2020-11-2,1659,221
2020-11-3,1631,218
2020-11-4,1632,226
2020-11-5,1774,233
2020-11-6,1834,226
2020-11-7,1926,236
2020-11-8,1965,254
2020-11-9,2016,238
2020-11-10,2055,237
2020-11-11,2157,257
2020-11-12,2248,248
2020-11-13,2328,264
2020-11-14,2447,272
2020-11-15,2462,275
2020-11-16,2525,275
2020-11-17,2454,285
2020-11-18,2453,298
2020-11-19,2588,310
2020-11-20,2734,323
2020-11-21,2851,336
2020-11-22,2817,336
2020-11-23,2805,314
2020-11-24,2680,307
2020-11-25,2698,320
2020-11-26,2749,325
2020-11-27,2743,353
2020-11-28,2813,367
2020-11-29,2654,369
2020-11-30,2498,339
2020-12-1,2599,344
2020-12-2,2651,354
2020-12-3,2758,376
2020-12-4,2803,368
2020-12-5,2735,361
2020-12-6,2708,368
2020-12-7,2550,355
2020-12-8,2628,344
2020-12-9,2579,334
2020-12-10,2641,343
2020-12-11,2795,350
2020-12-12,2710,330
2020-12-13,2637,332
2020-12-14,2624,335
2020-12-15,2543,325
2020-12-16,2529,324
2020-12-17,2536,316
2020-12-18,2616,321
2020-12-19,2721,329
2020-12-20,2757,355
2020-12-21,2729,351
2020-12-22,2703,354
2020-12-23,2716,353
2020-12-24,2749,349
2020-12-25,2862,366
2020-12-26,2821,377
2020-12-27,2696,349
2020-12-28,2429,334
2020-12-29,2540,356
2020-12-30,2540,356
2020-12-31,2777,359
2021-1-1,2779,364
2021-1-2,2804,357
2021-1-3,2701,350
2021-1-4,2448,324
2021-1-5,2657,345
2021-1-6,2738,344
2021-1-7,2784,355
2021-1-8,2841,358
2021-1-9,2831,339
2021-1-10,2700,322
2021-1-11,2608,326
2021-1-12,2605,341
2021-1-13,2545,327
2021-1-14,2614,332
2021-1-15,2611,334
2021-1-16,2597,321
2021-1-17,2522,319
2021-1-18,2509,312
2021-1-19,2392,299
2021-1-20,2397,287
2021-1-21,2367,284
2021-1-22,2328,308
2021-1-23,2264,309
2021-1-24,2158,301
2021-1-25,2067,284
2021-1-26,1953,288
2021-1-27,1900,287
2021-1-28,1908,273
2021-1-29,1908,273
2021-1-30,1908,273
2021-1-31,1908,273
2021-2-1,1778,244
2021-2-2,1746,236
2021-2-3,1680,232
2021-2-4,1675,229
2021-2-5,1682,224
2021-2-6,1666,220
2021-2-7,1637,210
2021-2-8,1587,194
2021-2-9,1538,188
2021-2-10,1502,199
2021-2-11,1488,200
2021-2-12,1466,208
2021-2-13,1490,211
2021-2-14,1438,207
2021-2-15,1402,195
2021-2-16,1309,197
2021-2-17,1279,201
2021-2-18,1281,194
2021-2-19,1254,194
2021-2-20,1257,190
2021-2-21,1234,178
2021-2-22,1206,165
2021-2-23,1127,160
2021-2-24,1182,161
2021-2-25,1202,163
2021-2-26,1214,156
2021-2-27,1209,150
2021-2-28,1172,136
2021-3-1,1066,125
2021-3-2,1025,141
2021-3-3,989,146
2021-3-4,999,136
2021-3-5,1019,135
2021-3-6,1001,136
2021-3-7,955,135
