Date,NEDATA.HospitalizedCurrently,NEDATA.OnVentilatorCurrently
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,0,0
2020-5-3,0,0
2020-5-4,0,0
2020-5-5,0,0
2020-5-6,0,0
2020-5-7,0,0
2020-5-8,0,0
2020-5-9,0,0
2020-5-10,0,0
2020-5-11,0,0
2020-5-12,192,56
2020-5-13,192,56
2020-5-14,0,0
2020-5-15,0,0
2020-5-16,0,0
2020-5-17,0,0
2020-5-18,0,0
2020-5-19,0,0
2020-5-20,0,0
2020-5-21,0,0
2020-5-22,0,0
2020-5-23,0,0
2020-5-24,0,0
2020-5-25,0,0
2020-5-26,0,0
2020-5-27,0,0
2020-5-28,0,0
2020-5-29,0,0
2020-5-30,0,0
2020-5-31,0,0
2020-6-1,0,0
2020-6-2,0,0
2020-6-3,194,0
2020-6-4,211,0
2020-6-5,190,0
2020-6-6,181,0
2020-6-7,167,0
2020-6-8,166,0
2020-6-9,176,0
2020-6-10,181,0
2020-6-11,175,0
2020-6-12,164,0
2020-6-13,157,0
2020-6-14,156,0
2020-6-15,160,0
2020-6-16,160,0
2020-6-17,156,0
2020-6-18,156,0
2020-6-19,149,0
2020-6-20,141,0
2020-6-21,140,0
2020-6-22,141,0
2020-6-23,135,0
2020-6-24,125,0
2020-6-25,131,0
2020-6-26,126,0
2020-6-27,125,0
2020-6-28,123,0
2020-6-29,117,0
2020-6-30,121,0
2020-7-1,120,0
2020-7-2,117,0
2020-7-3,121,0
2020-7-4,111,0
2020-7-5,109,0
2020-7-6,101,0
2020-7-7,109,0
2020-7-8,102,0
2020-7-9,97,0
2020-7-10,100,0
2020-7-11,95,0
2020-7-12,95,0
2020-7-13,98,0
2020-7-14,101,0
2020-7-15,110,0
2020-7-16,103,0
2020-7-17,96,0
2020-7-18,105,0
2020-7-19,113,0
2020-7-20,121,0
2020-7-21,115,0
2020-7-22,118,0
2020-7-23,125,0
2020-7-24,126,0
2020-7-25,122,0
2020-7-26,103,0
2020-7-27,109,0
2020-7-28,117,0
2020-7-29,122,0
2020-7-30,137,0
2020-7-31,150,0
2020-8-1,152,0
2020-8-2,142,0
2020-8-3,144,0
2020-8-4,152,0
2020-8-5,151,0
2020-8-6,148,0
2020-8-7,151,0
2020-8-8,156,0
2020-8-9,147,0
2020-8-10,146,0
2020-8-11,162,0
2020-8-12,157,0
2020-8-13,152,0
2020-8-14,147,0
2020-8-15,145,0
2020-8-16,144,0
2020-8-17,146,0
2020-8-18,158,0
2020-8-19,160,0
2020-8-20,156,0
2020-8-21,146,0
2020-8-22,140,0
2020-8-23,139,0
2020-8-24,146,0
2020-8-25,154,0
2020-8-26,168,0
2020-8-27,166,0
2020-8-28,174,0
2020-8-29,168,0
2020-8-30,172,0
2020-8-31,172,0
2020-9-1,161,0
2020-9-2,162,0
2020-9-3,172,0
2020-9-4,162,0
2020-9-5,174,0
2020-9-6,176,0
2020-9-7,175,0
2020-9-8,172,0
2020-9-9,179,0
2020-9-10,182,0
2020-9-11,178,0
2020-9-12,166,0
2020-9-13,163,0
2020-9-14,169,0
2020-9-15,176,0
2020-9-16,167,0
2020-9-17,176,0
2020-9-18,188,0
2020-9-19,185,0
2020-9-20,174,0
2020-9-21,170,0
2020-9-22,185,0
2020-9-23,197,0
2020-9-24,200,0
2020-9-25,231,0
2020-9-26,225,0
2020-9-27,226,0
2020-9-28,224,0
2020-9-29,214,0
2020-9-30,215,0
2020-10-1,226,0
2020-10-2,227,0
2020-10-3,232,0
2020-10-4,249,0
2020-10-5,249,0
2020-10-6,271,0
2020-10-7,262,0
2020-10-8,288,0
2020-10-9,293,0
2020-10-10,299,0
2020-10-11,305,0
2020-10-12,304,0
2020-10-13,299,0
2020-10-14,315,0
2020-10-15,311,0
2020-10-16,323,0
2020-10-17,322,0
2020-10-18,320,0
2020-10-19,343,0
2020-10-20,380,0
2020-10-21,380,0
2020-10-22,400,0
2020-10-23,389,0
2020-10-24,426,0
2020-10-25,436,0
2020-10-26,435,0
2020-10-27,427,0
2020-10-28,436,0
2020-10-29,483,0
2020-10-30,528,0
2020-10-31,584,0
2020-11-1,612,0
2020-11-2,613,0
2020-11-3,642,0
2020-11-4,673,0
2020-11-5,698,0
2020-11-6,720,0
2020-11-7,748,0
2020-11-8,760,0
2020-11-9,794,0
2020-11-10,820,0
2020-11-11,860,0
2020-11-12,885,0
2020-11-13,905,0
2020-11-14,918,0
2020-11-15,889,0
2020-11-16,914,0
2020-11-17,938,0
2020-11-18,978,0
2020-11-19,961,0
2020-11-20,983,0
2020-11-21,987,0
2020-11-22,963,0
2020-11-23,976,0
2020-11-24,971,0
2020-11-25,936,0
2020-11-26,930,0
2020-11-27,931,0
2020-11-28,931,0
2020-11-29,911,0
2020-11-30,896,0
2020-12-1,907,0
2020-12-2,869,0
2020-12-3,853,0
2020-12-4,845,0
2020-12-5,819,0
2020-12-6,755,0
2020-12-7,768,0
2020-12-8,810,0
2020-12-9,787,0
2020-12-10,781,0
2020-12-11,779,0
2020-12-12,759,0
2020-12-13,711,0
2020-12-14,692,0
2020-12-15,693,0
2020-12-16,677,0
2020-12-17,646,0
2020-12-18,602,0
2020-12-19,612,0
2020-12-20,598,0
2020-12-21,582,0
2020-12-22,582,0
2020-12-23,566,0
2020-12-24,572,0
2020-12-25,538,0
2020-12-26,505,0
2020-12-27,503,0
2020-12-28,527,0
2020-12-29,534,0
2020-12-30,517,0
2020-12-31,544,0
2021-1-1,534,0
2021-1-2,517,0
2021-1-3,503,0
2021-1-4,511,0
2021-1-5,527,0
2021-1-6,515,0
2021-1-7,506,0
2021-1-8,491,0
2021-1-9,481,0
2021-1-10,471,0
2021-1-11,475,0
2021-1-12,484,0
2021-1-13,457,0
2021-1-14,449,0
2021-1-15,465,0
2021-1-16,457,0
2021-1-17,457,0
2021-1-18,429,0
2021-1-19,429,0
2021-1-20,438,0
2021-1-21,433,0
2021-1-22,421,0
2021-1-23,414,0
2021-1-24,390,0
2021-1-25,392,0
2021-1-26,373,0
2021-1-27,360,0
2021-1-28,343,0
2021-1-29,341,0
2021-1-30,325,0
2021-1-31,320,0
2021-2-1,312,0
2021-2-2,305,0
2021-2-3,305,0
2021-2-4,278,0
2021-2-5,285,0
2021-2-6,275,0
2021-2-7,272,0
2021-2-8,250,0
2021-2-9,257,0
2021-2-10,240,0
2021-2-11,230,0
2021-2-12,216,0
2021-2-13,201,0
2021-2-14,197,0
2021-2-15,195,0
2021-2-16,177,0
2021-2-17,185,0
2021-2-18,188,0
2021-2-19,185,0
2021-2-20,170,0
2021-2-21,163,0
2021-2-22,161,0
2021-2-23,166,0
2021-2-24,178,0
2021-2-25,160,0
2021-2-26,166,0
2021-2-27,154,0
2021-2-28,151,0
2021-3-1,158,0
2021-3-2,154,0
2021-3-3,150,0
2021-3-4,151,0
2021-3-5,143,0
2021-3-6,136,0
2021-3-7,137,0
