Date,TNDATA.Death,TNDATA.DeathConfirmed
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,9,0
2020-4-1,486,0
2020-4-2,656,0
2020-4-3,625,0
2020-4-4,601,0
2020-4-5,637,0
2020-4-6,834,0
2020-4-7,802,0
2020-4-8,708,0
2020-4-9,639,0
2020-4-10,561,0
2020-4-11,411,0
2020-4-12,324,0
2020-4-13,458,0
2020-4-14,443,0
2020-4-15,412,0
2020-4-16,444,0
2020-4-17,465,0
2020-4-18,593,0
2020-4-19,393,0
2020-4-20,505,0
2020-4-21,523,0
2020-4-22,441,0
2020-4-23,488,0
2020-4-24,593,0
2020-4-25,510,0
2020-4-26,568,0
2020-4-27,618,0
2020-4-28,611,0
2020-4-29,614,0
2020-4-30,605,0
2020-5-1,529,0
2020-5-2,474,0
2020-5-3,510,0
2020-5-4,499,0
2020-5-5,520,0
2020-5-6,557,0
2020-5-7,558,0
2020-5-8,550,0
2020-5-9,509,0
2020-5-10,484,0
2020-5-11,581,0
2020-5-12,591,0
2020-5-13,635,0
2020-5-14,599,0
2020-5-15,535,0
2020-5-16,515,0
2020-5-17,513,0
2020-5-18,638,0
2020-5-19,615,0
2020-5-20,652,0
2020-5-21,601,0
2020-5-22,570,0
2020-5-23,478,0
2020-5-24,526,0
2020-5-25,517,0
2020-5-26,582,0
2020-5-27,501,0
2020-5-28,545,0
2020-5-29,507,0
2020-5-30,516,0
2020-5-31,463,0
2020-6-1,504,0
2020-6-2,565,0
2020-6-3,548,0
2020-6-4,547,0
2020-6-5,505,0
2020-6-6,535,0
2020-6-7,561,0
2020-6-8,617,0
2020-6-9,587,0
2020-6-10,624,0
2020-6-11,606,0
2020-6-12,608,0
2020-6-13,583,0
2020-6-14,588,0
2020-6-15,642,0
2020-6-16,621,0
2020-6-17,632,0
2020-6-18,617,0
2020-6-19,635,0
2020-6-20,588,0
2020-6-21,605,0
2020-6-22,664,0
2020-6-23,721,0
2020-6-24,696,0
2020-6-25,741,0
2020-6-26,741,0
2020-6-27,705,0
2020-6-28,800,0
2020-6-29,839,0
2020-6-30,886,0
2020-7-1,955,0
2020-7-2,949,0
2020-7-3,949,0
2020-7-4,949,0
2020-7-5,949,0
2020-7-6,940,0
2020-7-7,1112,0
2020-7-8,1160,0
2020-7-9,1135,0
2020-7-10,1184,0
2020-7-11,1184,0
2020-7-12,1184,0
2020-7-13,1120,0
2020-7-14,1222,0
2020-7-15,1282,0
2020-7-16,1416,0
2020-7-17,1436,0
2020-7-18,1378,0
2020-7-19,1327,0
2020-7-20,1368,0
2020-7-21,1461,0
2020-7-22,1451,0
2020-7-23,1465,0
2020-7-24,1460,0
2020-7-25,1414,0
2020-7-26,1313,0
2020-7-27,1328,0
2020-7-28,1420,0
2020-7-29,1417,0
2020-7-30,1493,0
2020-7-31,1494,0
2020-8-1,1446,0
2020-8-2,1271,0
2020-8-3,1323,0
2020-8-4,1433,0
2020-8-5,1448,0
2020-8-6,1497,0
2020-8-7,1406,0
2020-8-8,1393,0
2020-8-9,1290,0
2020-8-10,1167,0
2020-8-11,1378,0
2020-8-12,1295,185
2020-8-13,1312,191
2020-8-14,1264,176
2020-8-15,1307,187
2020-8-16,1148,158
2020-8-17,1139,173
2020-8-18,1231,183
2020-8-19,1230,171
2020-8-20,1194,177
2020-8-21,1149,171
2020-8-22,1100,170
2020-8-23,1009,164
2020-8-24,1018,173
2020-8-25,1099,226
2020-8-26,1070,169
2020-8-27,1047,166
2020-8-28,1012,169
2020-8-29,1002,166
2020-8-30,889,155
2020-8-31,910,155
2020-9-1,1037,164
2020-9-2,1082,165
2020-9-3,1056,158
2020-9-4,1036,146
2020-9-5,1000,146
2020-9-6,969,144
2020-9-7,953,130
2020-9-8,983,138
2020-9-9,1056,145
2020-9-10,1038,154
2020-9-11,965,141
2020-9-12,941,137
2020-9-13,820,122
2020-9-14,833,131
2020-9-15,888,119
2020-9-16,969,124
2020-9-17,999,141
2020-9-18,871,124
2020-9-19,837,123
2020-9-20,772,106
2020-9-21,789,130
2020-9-22,914,120
2020-9-23,919,114
2020-9-24,813,114
2020-9-25,838,119
2020-9-26,855,119
2020-9-27,830,127
2020-9-28,832,118
2020-9-29,909,106
2020-9-30,969,124
2020-10-1,999,138
2020-10-2,983,121
2020-10-3,989,119
2020-10-4,900,120
2020-10-5,975,122
2020-10-6,1115,143
2020-10-7,1155,151
2020-10-8,1149,158
2020-10-9,1186,153
2020-10-10,1156,153
2020-10-11,1124,148
2020-10-12,945,131
2020-10-13,1245,156
2020-10-14,1301,161
2020-10-15,1331,173
2020-10-16,1281,154
2020-10-17,1299,171
2020-10-18,1105,143
2020-10-19,1338,177
2020-10-20,1424,179
2020-10-21,1424,167
2020-10-22,1424,167
2020-10-23,1426,164
2020-10-24,1382,162
2020-10-25,1094,138
2020-10-26,1228,161
2020-10-27,1374,162
2020-10-28,1384,171
2020-10-29,1529,173
2020-10-30,1388,171
2020-10-31,1589,177
2020-11-1,1437,181
2020-11-2,1467,191
2020-11-3,1609,199
2020-11-4,1716,211
2020-11-5,1701,209
2020-11-6,1631,191
2020-11-7,1687,211
2020-11-8,1656,204
2020-11-9,1705,221
2020-11-10,1815,223
2020-11-11,1904,229
2020-11-12,1973,224
2020-11-13,2019,218
2020-11-14,2083,225
2020-11-15,1972,224
2020-11-16,1999,237
2020-11-17,2138,247
2020-11-18,2209,247
2020-11-19,2236,257
2020-11-20,2260,269
2020-11-21,2289,263
2020-11-22,2266,264
2020-11-23,2317,263
2020-11-24,2368,273
2020-11-25,2413,286
2020-11-26,2427,281
2020-11-27,2400,271
2020-11-28,2450,286
2020-11-29,2408,289
2020-11-30,2534,309
2020-12-1,2632,317
2020-12-2,2744,323
2020-12-3,2701,310
2020-12-4,2751,325
2020-12-5,2715,333
2020-12-6,2760,346
2020-12-7,2755,333
2020-12-8,2839,332
2020-12-9,2890,556
2020-12-10,2851,349
2020-12-11,2890,342
2020-12-12,2919,356
2020-12-13,2906,359
2020-12-14,2986,368
2020-12-15,3062,366
2020-12-16,3100,378
2020-12-17,3165,399
2020-12-18,3099,400
2020-12-19,3099,400
2020-12-20,2978,398
2020-12-21,2995,415
2020-12-22,3112,426
2020-12-23,3162,438
2020-12-24,3173,471
2020-12-25,3092,451
2020-12-26,3002,460
2020-12-27,3023,462
2020-12-28,3151,485
2020-12-29,3274,455
2020-12-30,3425,466
2020-12-31,3429,475
2021-1-1,3378,471
2021-1-2,3303,453
2021-1-3,3371,467
2021-1-4,3407,471
2021-1-5,3465,469
2021-1-6,3554,478
2021-1-7,3533,474
2021-1-8,3482,474
2021-1-9,3416,487
2021-1-10,3263,459
2021-1-11,3249,447
2021-1-12,3230,432
2021-1-13,3193,445
2021-1-14,3150,436
2021-1-15,3034,402
2021-1-16,2972,388
2021-1-17,2856,411
2021-1-18,2810,402
2021-1-19,2775,404
2021-1-20,2813,418
2021-1-21,2673,412
2021-1-22,2514,398
2021-1-23,2396,386
2021-1-24,2269,376
2021-1-25,2196,355
2021-1-26,2166,359
2021-1-27,2167,347
2021-1-28,2009,315
2021-1-29,1960,306
2021-1-30,1806,274
2021-1-31,1699,254
2021-2-1,1682,253
2021-2-2,1687,277
2021-2-3,1638,266
2021-2-4,1562,236
2021-2-5,1558,235
2021-2-6,1514,228
2021-2-7,1439,211
2021-2-8,1431,208
2021-2-9,1404,220
2021-2-10,1419,214
2021-2-11,1385,199
2021-2-12,1332,184
2021-2-13,1285,181
2021-2-14,1246,182
2021-2-15,1221,180
2021-2-16,1219,173
2021-2-17,1245,173
2021-2-18,1250,163
2021-2-19,1095,150
2021-2-20,1123,165
2021-2-21,1128,171
2021-2-22,1128,167
2021-2-23,1129,158
2021-2-24,1142,148
2021-2-25,1139,137
2021-2-26,1432,134
2021-2-27,1038,124
2021-2-28,1004,134
2021-3-1,1009,127
2021-3-2,991,133
2021-3-3,1033,140
2021-3-4,970,127
2021-3-5,939,135
2021-3-6,879,127
2021-3-7,851,127
